,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
"K01006: ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]",6,1,1,36,29,63,54,67,39,44
"K01007: pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]",12,3,5,30,29,35,36,56,35,27
K01491: folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5ÿ3.5.4.9],6,0,3,6,2,5,4,7,5,4
K01595: ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],12,0,1,4,4,9,8,4,3,4
K01601: rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],34,7,1,29,32,18,8,19,23,15
K01602: rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],4,1,1,7,4,10,4,6,3,3
"K01610: E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]",14,1,2,16,20,18,12,10,13,12
"K01623: ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",6,1,0,2,7,3,0,3,3,1
"K01624: FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",24,9,6,10,12,23,18,16,22,14
"K01676: E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]",0,0,1,1,1,1,6,1,2,1
"K01678: E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]",0,0,0,1,1,0,4,1,0,1
"K01679: E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]",10,1,2,6,4,6,10,5,2,2
"K01681: ACO, acnA; aconitate hydratase [EC:4.2.1.3]",20,2,18,10,14,16,12,2,8,6
K01682: acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3ÿ4.2.1.99],2,0,2,1,3,2,0,0,3,0
K01807: rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],4,0,3,0,0,2,0,0,0,2
K01808: rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],0,0,0,2,1,0,0,2,1,1
K01847: MUT; methylmalonyl-CoA mutase [EC:5.4.99.2],2,0,4,5,1,7,16,18,5,10
"K01848: E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",4,0,3,5,1,4,10,25,2,5
"K01849: E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",0,0,0,0,0,1,4,2,0,0
K01902: sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],4,1,2,3,7,2,14,2,4,5
K01903: sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],12,0,6,3,4,3,10,3,7,4
K01938: fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3],4,0,1,7,2,8,6,4,14,9
"K01958: PC, pyc; pyruvate carboxylase [EC:6.4.1.1]",6,0,0,3,4,2,4,1,4,3
K01959: pycA; pyruvate carboxylase subunit A [EC:6.4.1.1],0,0,1,0,2,1,0,2,0,0
K01960: pycB; pyruvate carboxylase subunit B [EC:6.4.1.1],4,0,0,0,1,3,6,11,3,10
"K01961: accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2ÿ6.3.4.14]",4,1,1,4,7,1,0,3,3,3
K01962: accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2ÿ2.1.3.15],4,0,7,2,5,3,4,9,2,5
K01963: accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2ÿ2.1.3.15],4,0,7,3,7,4,4,9,2,5
"K02446: glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]",14,2,0,4,2,6,8,6,4,0
"K03737: por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1ÿ1.2.7.-]",46,6,3,55,59,56,62,85,47,43
"K03841: FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",6,0,1,2,6,10,2,1,6,4
K05299: fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],2,0,2,5,3,3,12,3,2,6
"K05606: MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]",0,1,1,0,1,1,4,2,0,1
"K11532: glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11ÿ3.1.3.37]",14,2,0,4,2,6,6,6,4,0
K13788: pta; phosphate acetyltransferase [EC:2.3.1.8],0,0,1,1,0,2,0,3,3,2
K14138: acsB; acetyl-CoA synthase [EC:2.3.1.169],0,0,0,1,2,4,10,2,10,13
"K14454: GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]",4,0,0,0,0,0,0,0,1,0
K14468: mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75ÿ1.1.1.298],0,0,0,1,0,1,2,3,0,4
K14469: K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84ÿ4.2.1.116ÿ6.2.1.36],0,0,0,1,2,2,8,4,2,0
K14471: smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22],0,1,0,0,0,0,4,2,0,2
K14472: smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22],0,1,0,0,0,0,4,2,0,2
K14534: abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120ÿ5.3.3.3],2,0,0,0,0,0,2,3,0,0
K15016: K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17ÿ1.1.1.35],0,0,0,0,0,0,0,4,0,0
K15017: K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75ÿ1.2.1.76],10,0,0,0,0,0,2,0,1,0
K15022: fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10],0,1,0,0,1,4,4,3,7,2
K15023: acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258],2,0,0,0,0,0,2,2,1,2
K15052: K15052; propionyl-CoA carboxylase [EC:6.4.1.3ÿ2.1.3.15],4,0,3,0,1,1,2,1,1,0
K15230: aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8],0,0,0,0,1,0,4,0,0,1
K15231: aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8],0,0,0,0,1,0,2,0,0,1
