,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K08692: mtkB; malate-CoA ligase subunit alpha [EC:6.2.1.9],2,1,0,0,5,2,10,2,4,2
K10944: pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3ÿ1.14.99.39],8,3,0,0,2,0,0,0,0,0
K10945: pmoB-amoB; methane/ammonia monooxygenase subunit B,4,1,0,0,0,0,0,0,0,0
K13788: pta; phosphate acetyltransferase [EC:2.3.1.8],0,0,1,1,0,2,0,3,3,2
K13812: fae-hps; bifunctional enzyme Fae/Hps [EC:4.2.1.147ÿ4.1.2.43],0,0,0,0,0,1,2,6,0,0
K13831: hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43ÿ5.3.1.27],0,0,0,0,0,0,0,6,0,0
K14067: mtkA; malate-CoA ligase subunit beta [EC:6.2.1.9],6,0,4,0,0,2,8,1,2,1
K14080: mtaA; [methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246],0,0,0,0,1,2,0,0,1,3
K14081: mtaC; methanol corrinoid protein,0,0,0,0,1,0,0,1,1,1
K14083: mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250],0,0,0,4,5,10,20,11,8,9
K14084: mttC; trimethylamine corrinoid protein,2,0,0,0,1,1,2,3,0,0
"K14126: mvhA, vhuA, vhcA; F420-non-reducing hydrogenase large subunit [EC:1.12.99.-ÿ1.8.98.5]",0,0,0,3,5,7,26,20,1,12
"K14127: mvhD, vhuD, vhcD; F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.-ÿ1.8.98.5ÿ1.8.98.6]",0,0,0,0,1,5,10,21,0,4
"K14128: mvhG, vhuG, vhcG; F420-non-reducing hydrogenase small subunit [EC:1.12.99.-ÿ1.8.98.5]",0,0,0,3,2,4,8,20,3,5
K16179: mtbC; dimethylamine corrinoid protein,0,0,0,0,1,0,0,4,0,1
