,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K03119: tauD; taurine dioxygenase [EC:1.14.11.17],0,0,1,0,1,0,0,0,0,0
K04091: ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5],2,0,3,1,0,1,0,0,1,0
K05301: E1.8.2.1; sulfite dehydrogenase [EC:1.8.2.1],2,0,1,2,0,0,0,0,0,0
K06881: nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],2,0,0,0,1,1,4,0,0,1
K07306: dmsA; anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3],2,1,0,0,5,2,0,4,1,1
K07307: dmsB; anaerobic dimethyl sulfoxide reductase subunit B,0,0,0,0,0,0,2,0,0,2
"K08352: phsA, psrA; thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]",0,0,0,11,4,6,6,5,2,1
K08353: phsB; thiosulfate reductase electron transport protein,0,0,0,0,0,0,2,1,0,2
K08357: ttrA; tetrathionate reductase subunit A,0,0,0,3,0,3,0,0,1,0
K08358: ttrB; tetrathionate reductase subunit B,0,0,0,0,1,0,4,0,1,0
K10150: cysO; cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22],4,0,0,0,0,0,0,0,0,0
K10764: metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-],0,0,1,1,1,1,4,0,0,0
K10831: tauB; taurine transport system ATP-binding protein [EC:7.6.2.7],0,0,1,0,0,0,0,0,0,0
K11180: dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5],0,0,0,6,1,13,24,8,18,14
K11181: dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],0,0,0,9,1,15,10,5,12,14
K13811: PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25],4,0,0,4,2,6,4,4,6,11
K15551: tauA; taurine transport system substrate-binding protein,0,0,0,1,2,0,0,0,0,1
K15552: tauC; taurine transport system permease protein,2,0,8,0,0,1,0,0,1,2
K15553: ssuA; sulfonate transport system substrate-binding protein,2,0,0,2,0,0,2,2,0,1
K15554: ssuC; sulfonate transport system permease protein,0,0,6,0,1,0,0,1,0,2
K15555: ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-],0,0,1,0,1,0,0,0,0,0
K16937: doxD; thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2],0,0,0,1,2,2,0,0,1,0
K16950: asrA; anaerobic sulfite reductase subunit A,0,0,0,1,3,0,0,0,1,3
K16951: asrB; anaerobic sulfite reductase subunit B,0,0,0,1,1,1,0,1,3,1
K16952: sor; sulfur oxygenase/reductase [EC:1.13.11.55],0,0,0,0,0,0,2,0,0,0
K17069: MET17; O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47],2,0,0,0,0,0,0,0,0,0
K17218: sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4],2,0,0,14,7,24,4,6,10,7
K17222: soxA; L-cysteine S-thiosulfotransferase [EC:2.8.5.2],0,0,0,2,0,1,0,1,1,1
K17223: soxX; L-cysteine S-thiosulfotransferase [EC:2.8.5.2],0,0,0,2,0,0,0,0,0,0
K17224: soxB; S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20],2,0,0,4,1,0,2,1,2,1
K17225: soxC; sulfane dehydrogenase subunit SoxC,2,0,1,4,0,0,0,0,0,0
K17226: soxY; sulfur-oxidizing protein SoxY,0,0,1,1,1,1,2,0,1,1
K17227: soxZ; sulfur-oxidizing protein SoxZ,0,0,0,1,1,0,0,0,0,2
K17228: sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35],2,0,0,0,0,0,0,0,1,0
K17229: fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3],0,0,0,1,0,0,0,0,1,1
K17230: fccA; cytochrome subunit of sulfide dehydrogenase,0,0,0,0,1,0,0,0,0,0
K17285: SELENBP1; methanethiol oxidase [EC:1.8.3.4],2,0,1,1,0,0,0,1,0,0
K17725: ETHE1; sulfur dioxygenase [EC:1.13.11.18],0,0,0,0,0,4,0,1,0,0
K17993: hydA; sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5],0,0,0,0,0,0,0,3,0,0
K17994: hydD; sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5],0,0,0,1,0,2,0,13,1,0
K17995: hydG; sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4],0,0,0,1,0,0,0,0,1,0
K17996: hydB; sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4],0,0,0,1,0,0,0,1,1,2
K20034: dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44],2,0,2,1,2,1,0,0,0,0
K20035: dmdC; 3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-],2,0,1,2,0,1,2,1,0,1
